楼盘名称,地址,单价,面积,数据来源
康田紫悦府,沙坪坝大学城思贤路46号,15872.0,94.5,安居客
幸福时光里,南岸茶园新区通江大道101号,14865.0,97.6,安居客
鲁能泰山7号十八街区,"渝北中央公园兰桂大道,近金山大道",16280.0,86.0,安居客
弘阳昕悦棠,渝北两路桂馥大道25号,17648.0,85.0,安居客
晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",16667.0,90.0,安居客
沿海赛洛城(A区),北碚城南新区冯时行路800号,14889.0,94.0,安居客
凤天锦园,沙坪坝凤天路凤天大道97号,15852.0,94.0,安居客
海成云境,渝北空港新城睦邻路10号,14344.0,99.0,安居客
佳兆业晓岸云起,沙坪坝陈家桥学城大道,16484.0,91.0,安居客
融信海月平湖,渝北回兴宝桐路56号,17000.0,90.0,安居客
中梁海成南山云璟,"南岸四公里广黔路,近海峡路",14142.0,99.0,安居客
华远海蓝和光,沙坪坝陈家桥慧堂路,15253.0,99.0,安居客
海纳九龙,九龙坡杨家坪龙江支路,16742.0,89.0,安居客
万科未来星光,"渝北悦来金兴大道,近翠岗路",16293.0,89.0,安居客
荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",16889.0,90.0,安居客
保利阅江台,"江北石马河盘溪路,近盘溪一支路",16123.0,98.0,安居客
金科天元道砚北A组团,渝北大竹林龙凼路9号,15455.0,99.0,安居客
万科森林公园,"渝北中央公园甘悦大道,近春华大道",15175.0,98.9,安居客
龙湖西宸原著,沙坪坝陈家桥香礼路2号,15152.0,99.0,安居客
华宇旭辉御璟湖山,渝北礼嘉礼敬路699号,15209.0,96.0,安居客
玖著天宸,"北碚蔡家同康路,近同泰路",16360.0,89.0,安居客
泷悦华府,"沙坪坝陈家桥大学城北路,近陈南路",15217.0,98.6,安居客
领地观云府,巴南鹿角华林路918号,15054.0,93.0,安居客
隆鑫鸿府,"渝北农业园区宝环路,近宝石路",15426.0,94.0,安居客
爱情天宸万璟,渝北农业园区服装城大道,14445.0,99.0,安居客
金辉玖珑云璟,"九龙坡奥体中心龙腾大道,近奥体四支路",16705.0,88.0,安居客
保利和光尘樾,"渝北悦来悦清大道,近悦港大道",15790.0,95.0,安居客
鲁能泰山7号十二街区,渝北中央公园嘉业路1号,23215.0,84.0,安居客
鲁能泰山7号十九街区,"渝北中央公园兰桂大道,近金山大道",21177.0,85.0,安居客
万科锦尚,九龙坡石桥铺罗汉沟26号,20248.0,88.9,安居客
鲁能泰山7号十七街区,渝北中央公园博汇路10号,21177.0,85.0,安居客
康田蔚蓝海(B区),渝北照母山星融路66号,18632.0,96.6,安居客
金科东方王榭,渝北人和金开大道3号,18182.0,99.0,安居客
金科天宸一街区,沙坪坝土主永祥路106号,18922.0,95.7,安居客
融创凡尔赛香榭,渝北照母山星融路15号,20104.0,97.0,安居客
金科天籁城美社,渝北人和双宁路172号,15377.0,93.0,安居客
公园大道,"渝北中央公园公园东路,近同茂大道",16869.0,94.0,安居客
万科金开悦府,"渝北悦来云卉路,近金兴大道",14901.0,95.3,安居客
建发和玺,北碚蔡家金兴大道,16305.0,92.0,安居客
融创隐溪晓院,"渝北中央公园悦港大道,近土两路",18236.0,85.0,安居客
江山雲出,渝北礼嘉古树坪路86号,15189.0,99.4,安居客
美的云来,"沙坪坝陈家桥团歇路,近横一路",14647.0,99.0,安居客
汇悦悦城,新城红河南路888号,14800.0,,贝壳
联发龙洲湾1号,海洋公园旁,25000.0,,贝壳
汇悦悦峰,汇龙大道三转盘,18000.0,,贝壳
碧桂园天麓,渝南大道(南温泉民宿度假酒店旁),15000.0,,贝壳
新城金樾府,鸥鹏大道巴川旁（巴南新鸥鹏教育城旁边）,13000.0,,贝壳
碧桂园长桥江山,童家溪镇香溪路88号,15000.0,,贝壳
桥达天蓬樾府,重庆市-渝北区-龙骏大道与龙驿大道交口南侧,14000.0,,贝壳
桥达天蓬樾府,龙兴（绕城高速下道口）,15000.0,,贝壳
中交锦悦,巴南区龙洲湾街道盛龙路118号,11500.0,,贝壳
华美翡丽山,宏帆路佰富高尔夫旁（北滨路西端双碑大桥桥头）,16000.0,,贝壳
中交漫山,天文大道花街(茶园新区管委会西行300米),18000.0,,贝壳
光华安纳溪湖,茶园新区米兰路中段（茶花小镇旁）,16000.0,,贝壳
两江御园,龙盛新区两江影视国际城(国际城大桥西侧),15000.0,,贝壳
鲁能泰山7号,重庆市渝北区仙桃街道腾芳大道778号,21000.0,,贝壳
尚江宸溪香苑,西彭镇（铝城大道旁）,5500.0,,贝壳
西海岸凯悦,西彭镇西湖路与三环路交叉路口,5800.0,,贝壳
公园大道,中央公园公园东路（重 庆中央公园旁）,19500.0,,贝壳
日月光解放碑1号R3,解放碑民权路88号(较场口转盘),24000.0,,贝壳
中迪广场,杨家坪正街,15000.0,,贝壳
力帆红星国际广场,"金州大道40号, 金开大道1029号, 金州大道42号",25000.0,,贝壳
高开投理想城,西部新 城陶家商圈（白彭路与铜陶路交汇处，陶家百可广场旁）,7000.0,,贝壳
芸峰兰亭,渝南大道岔路口（巴南海宁皮草城旁）,12000.0,,贝壳
重庆棕榈泉国际中心,金开大道90号,17000.0,,贝壳
佳兆业滨江新城,钢城大道南段58号,10000.0,,贝壳
国博城,"悦来街道悦城路36号, 悦山路35号",10000.0,,贝壳
金科天宸,西永商务中心区（地铁1号线微电园站）,15000.0,,贝壳
阳光城悦江山,蔡家同康路（马鞍石大桥北桥头）,15500.0,,贝壳
阳光100阿尔勒,巴南区渝南大道163号（轻轨三号线 大山村车站旁）,15000.0,,贝壳
北大资源燕南,兴堰路6号,20000.0,,贝壳
金茂悦,石坪桥盘龙正街中段(蟠龙小学旁),13000.0,,贝壳
鸥鹏泊雅湾,学智路651号,15000.0,,贝壳
恒大未来城,大学城中路重庆城市管理学院正对面,20000.0,,贝壳
华南城巴南华府,东城大道,8300.0,,贝壳
碧桂园翡翠城,绿岛新区永嘉大道115号,8500.0,,贝壳
澳海御江苑,涪陵江东东滨大道36号,7000.0,,贝壳
新华协信中心,观音桥步行街(协信星光68旁),19000.0,,贝壳
阳光城天澜道11号,江北北滨二路（朝天门大桥北桥头）,27000.0,,贝壳
协润凤凰世纪城,永川凤凰大道888号（凤凰湖公园旁）,5400.0,,贝壳
中交中央公园,中央公园东路西南侧,23800.0,,贝壳
和记黄埔御峰,御泰路201号,30000.0,,贝壳
和泓文华府,渝南大道1388号,12000.0,,贝壳
融创碧桂园望江府,悦来生态城,16800.0,,贝壳
北京城建龙樾生态城,悦来生态城轻轨6号线高义口站旁,19700.0,,贝壳
复地山与城,黄桷垭福寿路2号（重庆邮电大学与老厂道路之间）,11000.0,,贝壳
